Vintage,Wine,Score,Reviewer/Publication,Reviewed by,Honorable Mentions,Review
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wine & Spirits,,,"This vineyard, near the town of Petaluma, covers two hillsides with 50 acres of vines facing southwest into the wind gap. The grape skins that ripened in that wind give the wine’s blue fruit a darker tension, what Amber Rill, of NYC’s Corkbuzz Wine Studio, described as “a pretty grip to the tannins.” Fully ripe, the wine delivers fruit sweetness in the service of savor, long, cool and youthfully tight. (200 cases) —J.G."
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wine Spectator,,,"Punchy and forward, featuring a burst of pomegranate and cherry fruit liberally laced with dried anise and red tea notes. A touch of licorice adds a flattering edge to the juicy finish, but this is more Russian River in profile than Sonoma Coast. Drink now through 2032. 200 cases made.  –JM"
2021,"""Terra de Promissio Vineyard"" SC Pinot Noir",92,James Suckling,,,"Cherries, strawberries, cassis and sweet spice aromas. It’s medium-bodied with creamy tannins. Ripe and generous with a juicy core of berries and red fruits coating the palate towards the flavorful finish. Drink now.																"
2021,"""Soberanes Vineyard"" SLH Pinot Noir",98,The New Wine Review,,,"This delicious wine is rich, spiced and fruity in dark cherry, with shocks of cardamom and clove that make it instantly interesting. Lengthy and generous, it has a tremendous midpalate, showing great intensity, with an equal amount of length on the finish."
2021,"""Soberanes Vineyard"" SLH Pinot Noir",94,Wilfred Wong,,,"The 2021 Domaine Della Soberanes Vineyard Pinot Noir is bright and alive, with a lasting finish. This wine offers aromas and flavors of chalkiness and ripe berries. Pair it with crispy skin, Cantonese chicken."
2021,"""Soberanes Vineyard"" SLH Pinot Noir",93,Wine Enthusiast,,,"Deep and dark black cherry, caramel candy and gingerbread aromas make for a lush and intense nose on this single-vineyard expression, but it manages to also stay bright and zesty. The palate offers a similar range of flavors, from black-cherry compote to ginger snap cookies, proving quite satisfying. — Matt Kettmann"
2021,"""Soberanes Vineyard"" SLH Pinot Noir",92,James Suckling,,,"Aromas of dark cherries, currants, nutmeg and some herbs. Medium body with velvety tannins and a creamy core of berries and cherries. Mild spices with creamy fruit towards the juicy finish. Drink or hold."
2021,"""Soberanes Vineyard"" SLH Pinot Noir",89,Wine Spectator,,,"Displaying succulent strawberry and mulberry fruit that's bright and charming in feel, this version is gilded with a touch of red licorice on the sleek finish. Drink now through 2026. Tasted twice, with consistent notes. 200 cases made.  –JM"
2021,"""4 Amours"" Special Blend SC Pinot Noir",97,The New Wine Review,,,"This is a tour de force of a wine, brooding and burly in the best ways. Rose petal, green tea, cranberry and blueberry all make appearances, layered atop a plush of giving tannin. Complex and slate-y in texture, it finishes in cardamom and clove."
2021,"""4 Amours"" Special Blend SC Pinot Noir",96,Wilfred Wong,,,"The 2021 Domaine Della 4 Amours Pinot Noir is an out-of-this-world wine. This wine shows aromas and flavors of freshly tilled dirt, black fruits, licorice, and oak. Pair it with BBQ baby back ribs."
2021,"""4 Amours"" Special Blend SC Pinot Noir",94,Wine Enthusiast,,,"This pretty, polished and elegant wine offers almost-sweet red cherries, strawberries and cinnamon in the nose and ripe but delicate fruits on the palate. Smooth tannins and gentle acidity give it a silky mouthfeel and boost a lingering finish. — Jim Gordon"
2021,"""4 Amours"" Special Blend SC Pinot Noir",92,James Suckling,,,"Juicy, fruity and velvety with aromas of cherries, strawberries, herbs, chocolate wafers and baking spices. Medium body with velvety tannins. Rich and creamy with an abundance of cherries and strawberries to the finish. Drink now.																"
2020,Sonoma Coast Chardonnay,92,James Suckling,,,"Attractive nose of toasted bread, burnt lemons, baked apples and buttered popcorn. It's full-bodied with a buttery, weighty palate. Toasty and tasty finish. Drink now."
2020,Sonoma Coast Chardonnay,90,Wine Enthusiast,,,"Earthy and herbal, this coastal appellation wine is rich and thick in crème brûlée and tropical fruit, densely concentrated and lingering in toasted oak and baking spice. - Virginie Boone"
2020,Sonoma Coast Chardonnay,89,Wine Spectator,,,"Firm and restrained, with Honeycrisp apple, pear, pineapple and citrus zest notes on a juicy, sleek frame, showing hints of white flowers. Drink now. 150 cases made.  –MW"
2020,"""Ritchie Vineyard"" RRV Chardonnay",95,Wine Enthusiast,,,"An outstanding white from a warm vintage, this shows rich layers of custard and lemon soufflé. Tangy tangerine and wet stone undertones give it lift and freshness as the richness returns for a full-throttled, creamy and cohesive finish. Virginie Boone"
2020,"""Ritchie Vineyard"" RRV Chardonnay",94,James Suckling,,,"A long, delicious chardonnay with aromas of yellow flowers, toasted hazelnuts, peaches, French toast and nutmeg. It's full-bodied and creamy, yet remains agile and elegant. Fresh lemon-cream notes linger. Drink now."
2020,"""Ritchie Vineyard"" RRV Chardonnay",89,Wine Spectator,,,"Lemon curd, crème fraîche and candied ginger flavors are rich and bold on a smooth, creamy frame, with a fresh thread of acidity. Drink now. 150 cases made.  –MW"
2019,Sonoma Coast Chardonnay,94,Wine Enthusiast,,,"This wine has rounded edges of smooth opulence, making the case for full-bodied intensity and concentration expressed within layers of rich stone and tropical fruit. With hints of saline, it offers a contrast of sweet and savory, and is plenty fresh in the glass. VIRGINIE BOONE"
2019,Sonoma Coast Chardonnay,92,Wilfred Wong,,,
2019,Sonoma Coast Chardonnay,92,Robert Parker's Wine Advocate,,,
2019,Sonoma Coast Chardonnay,92,James Suckling,,,
2019,Sonoma Coast Chardonnay,91,Connoisseur's Guide to CA Wine,,,
2019,Sonoma Coast Chardonnay,87,Wine Spectator,,,
2019,Russian River Valley Pinot Noir,94,Jeb Dunnuck,,,"The 2019 Pinot Noir Russian River Valley has more floral aromas, with sweet cedar, ripe raspberry, and baking spice. The palate has beautiful concentration and fresh fruit that surges through to a long finish with a tangerine note. Hold 1-2 years and drink over the following 8-10 years."
2019,Russian River Valley Pinot Noir,94,Wilfred Wong,,,"The 2019 Domaine Della Russian River Valley Pinot Noir is bright and alive with tremendous energy. This wine offers aromas and flavors of ripe red and blue fruits, with wild strawberries and dried earth hints. Try it with rosemary and garlic-infused, spit-roasted leg of lamb."
2019,Russian River Valley Pinot Noir,93,Wine Enthusiast,,,"This appellation wine delivers a lovely wall of spicy cherry and wild strawberry within a context of weighty tannin and girth. Substantially built in ripeness and richness, it offers lasting intensity with breadth and length. - Virginie Boone"
2019,Russian River Valley Pinot Noir,92,James Suckling,,,
2019,Russian River Valley Pinot Noir,92,Connoisseur's Guide to CA Wine,,,"As we have often commented, it would not be wise to quickly dismiss any wine - and especially Pinot Noirs - that do not hail from a single vineyard site, and this well-made offering capably drives home the point. It is a precise and specific Pinot that is at once both rich and fairly lively with a fine backbone of balancing acidity working to brighten its nicely extracted mix of ripe cherry and berry fruit. It is both firm and slightly fleshy in feel, and, while its acidity accentuates its nominal back-end tannins, it is not so stiff or astringent as to dissuade near-term drinking, but it is a wine that we do see benefitting from three or four more years of cellaring."
2019,Russian River Valley Pinot Noir,92,Robert Parker's Wine Advocate,,,"The pale ruby-purple colored 2019 Pinot Noir Russian River Valley offers pretty scents of raspberry jam and violets, with touches of iron, dried herbs and Earl Grey tea leaves. The palate is light-bodied, silky, fresh and ultra-perfumed, finishing long and uplifted. It's a more delicate, red-fruited style than is typical of Russian River Valley. 400 cases produced."
2019,Russian River Valley Pinot Noir,89,Wine Spectator,,,
2019,Sonoma Coast Pinot Noir,94,Wine Enthusiast,Virginie Boone,,"Silky and powerfully built, this coastal wine is a celebration of richness, offering deep, dark notes of baked plum, dark cherry and black tea. Floral components of rose petal and earthy forest add to a weighty midpalate of chewy structure and intensity. - Virginie Boone"
2019,Sonoma Coast Pinot Noir,93,Wilfred Wong,,,"The 2019 Domaine Della Sonoma Coast Pinot Noir shows beautiful style, richness, and balance. This wine brings aromas and flavors of lively red and black fruit, with accents of licorice and dried earth. Pair it with grilled lamb chops."
2019,Sonoma Coast Pinot Noir,92,Wine Spectator,,,"This juicy red is filled with fruity verve, showing dried raspberry flavors flanked by delicate floral accents. The minerally finish offers zesty acidity and hints of saffron. Drink now through 2024. "
2019,Sonoma Coast Pinot Noir,91,Robert Parker's Wine Advocate,,,
2019,Sonoma Coast Pinot Noir,91,James Suckling,,,
2019,Sonoma Coast Pinot Noir,89,Connoisseur's Guide to CA Wine,,,
2019,Santa Lucia Highlands Pinot Noir,94,Wine Enthusiast,,,"Potent aromas of dark cherry, star anise and oak-powered crème brûlée show on the nose of this appellation blend. A grippy texture frames the palate, where plum-skin and crushed berry flavors add an edge to the richer black-cherry and cardamom tones. - Matt Kettman"
2019,Santa Lucia Highlands Pinot Noir,93,James Suckling,,,"Inviting aromas of baked cherries, dried herbs and suede. Medium-to full-bodied with right and zippy acidity. Silky tannins are wrapped by sweet red fruit and white chocolate. Drink or hold."
2019,Santa Lucia Highlands Pinot Noir,91,Robert Parker's Wine Advocate,,,
2019,Santa Lucia Highlands Pinot Noir,90,Wilfred Wong,,,
2019,Santa Lucia Highlands Pinot Noir,90,Wine Spectator,,,
2019,Santa Lucia Highlands Pinot Noir,90,Connoisseur's Guide to CA Wine,,,
2019,"""Ritchie Vineyard"" RRV Chardonnay",94,Wilfred Wong,,,"The 2019 Domaine Della Ritchie Vineyard Chardonnay is an excellent wine that stays long on the palate. This wine excels with aromas and flavors of savor spices, wild mushrooms, ripe fruit, and oak. Enjoy it with grilled shellfish in a savory, cream sauce.												"
2019,"""Ritchie Vineyard"" RRV Chardonnay",94,Wine Enthusiast,,,"This well-made, impressive wine from the great site opens with a smattering of coconut flake and rich lemon mouse. The full-bodied core consists of crisp green apple, tangerine and well-integrated acidity, leading the way to a brisk, fresh finish. - Virginie Boone"
2019,"""Ritchie Vineyard"" RRV Chardonnay",93,James Suckling,,,"White tea, herbs and white peaches on the nose. Full-bodied with powerful acidity that carries through the long finish. Floral on the palate with chamomile and lavender coming through. Dense and concentrated. Drink now."
2019,"""Ritchie Vineyard"" RRV Chardonnay",92.5,Robert Parker's Wine Advocate,,,
2019,"""Ritchie Vineyard"" RRV Chardonnay",92,Jeb Dunnuck,,,"The 2019 Chardonnay Ritchie Vineyard is golden with yellow orchard fruit, savory chamomile, and orange oil. The palate is medium-bodied but has great concentration, with notes of Meyer lemon, yellow apple, and salty earth. There is an autumnal feel to this wine that would go so well with roast chicken dishes with herbes de Provence. Drink it over the coming 6-8 years."
2019,"""Ritchie Vineyard"" RRV Chardonnay",91,Wine Spectator,,,
2019,"""Ritchie Vineyard"" RRV Chardonnay",91,Connoisseur's Guide to CA Wine,,,
2019,"""Graham Family Vineyard"" RRV Pinot Noir",96,Wine Enthusiast,,,"Brimming in dark cherry and baking spice, this wine also reveals underlying bursts of blood orange, tangerine and grapefruit. Lengthy and expansive on the palate, it offers resolved tannins and a smooth, healthy relationship with oak. - Virginie Boone"
2019,"""Graham Family Vineyard"" RRV Pinot Noir",94,Robert Parker's Wine Advocate,,,"Pale ruby, the 2019 Pinot Noir Graham Family Vineyard offers very pretty raspberry fruit on the nose, with accents of red and purple flowers and pipe tobacco. The palate is wonderfully perfumed, silky and fresh, and it finishes uplifted with delicate floral notes. 200 cases were made. - Erin Brooks"
2019,"""Graham Family Vineyard"" RRV Pinot Noir",93,Wilfred Wong,,,"The 2019 Domaine Della Graham Family Pinot Noir is classic Russian River Valley. This wine shines with aromas and flavors of forest floor, black earth, oak, and licorice. Try it with a grilled, well-marbled ribeye."
2019,"""Graham Family Vineyard"" RRV Pinot Noir",93,James Suckling,,,"Clove, suede and ripe red cherries on the nose. Medium-to full-bodied with a pleasant, guiding minerality and salinity. Integrated tannins. Bright and vibrant on the palate. Drink now."
2019,"""Graham Family Vineyard"" RRV Pinot Noir",92,Jeb Dunnuck,,,"The 2019 Pinot Noir Graham Family Vineyard displays classic notes of cherry, licorice, and sassafras, followed by ripeness on the palate, with fine tannins that build to create a more structured wine, with notes of dried earth and cranberry."
2019,"""Graham Family Vineyard"" RRV Pinot Noir",92,Connoisseur's Guide to CA Wine,,,"On the one hand a Pinot that tends to high ripeness, but, on the other, a wine that boasts a wealth of well-defined fruit that is enriched with creamy oak galore, this fairly full-bodied offering maintains a fine sense of proportion throughout and, even if a touch hot at the finish, never gives way to extremes. It is very well-balanced for the sizeable effort that it is and never once loses sight of the luscious fruit that lies at its core, and, if perhaps, a bit more up-front and not as long-aging as some of the Domaine Della bottlings, it is certain to grow for a half-decade or more."
2019,"""Graham Family Vineyard"" RRV Pinot Noir",91,Wine Spectator,,,
2019,"""Earl Stephens Vineyard"" RRV Pinot Noir",94,Wine Enthusiast,,,"Juicy red fruit dots a substantial landscape of velvety texture and supple tannin in this richly layered and ripe vineyard-designate. Varietal spice and deep, dark brooding cherry and plum lead the way to a complementary finish of toasted oak and hints of freshness. - Virginie Boone																"
2019,"""Earl Stephens Vineyard"" RRV Pinot Noir",94,Jeb Dunnuck,Audrey Frick,,"The 2019 Pinot Noir Earl Stephens Vineyard lends more spiced character, with anise, forest floor, and ripe red cherry. Savory and a bit more structured, it reveals dried herbs, tea leaf, and dried cranberry. Drink it over 2023-2032."
2019,"""Earl Stephens Vineyard"" RRV Pinot Noir",93,Wilfred Wong,,,"The 2019 Domaine Della Earl Stevens Pinot Noir is well-built and lasting on the palate. This wine offers aromas and flavors of ripe red fruit, sandalwood, and licorice. Pair it with oven-oven baked, star-anise accented beef tongue.													"
2019,"""Earl Stephens Vineyard"" RRV Pinot Noir",93,James Suckling,,,"Red and blue fruit on the nose with notes of rosemary and violet as well. Full-bodied with silky tannins. Good depth and intensity. A bit of cola pokes through. Well balanced. Drink or hold.																"
2019,"""Earl Stephens Vineyard"" RRV Pinot Noir",93,Connoisseur's Guide to CA Wine,,,"Rich oak jumps to the fore in the nose of this wine but is quickly joined by plenty of ripe cherry and berry-tinged fruit, and the combination of creamy oak and sweet fruit carries on into its comparatively plump and open flavors. While arguably a bit less sophisticated and not quite as layered as some in the Domaine Della collection, it wants for nothing in the way of undisguised richness. Delectable now with fine prospects for a good four or five years of age, it is one to tag for mid-term keeping rather than being buried in a distant nook far back in the cellar.																"
2019,"""Earl Stephens Vineyard"" RRV Pinot Noir",92,Robert Parker's Wine Advocate,,,
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",95,Wine Enthusiast,,,"This is a stunning wine from the Petaluma coastal site, with a strong cherry flavor that blends with rose and cherry blossom accents. Strawberry fruit leather joins the offerings on the palate, accenting a seamless, creamy mouthfeel that lingers on the close alongside a baking spice note. - Virginie Boone																"
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",95,Connoisseur's Guide to CA Wine,,,"Here, again, is an altogether sublime Pinot Noir from Domaine Della that combines fruity richness and impeccable balance. It leads with an intense, wonderfully layered nose of perfectly ripe cherries and mildly toasty oak that shows off the fruity purity and succulence inherent in top-tier Pinots, and, like the best of its cellarmates, it manages to be rich and sophisticated at the same time. It is ripe to be sure, but it wears its ripeness with a considerable sense of grace even now. It is both full and quite lively with an amazingly long finish, and, despite being immensely satisfying at present, can be cellared with complete confidence for eight to ten years.																"
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",94,Jeb Dunnuck,,,"The 2019 Pinot Noir Terra De Promissio is elegant and floral on the nose, with ripe strawberry, fresh roses, and cinnamon. This continues on the palate, with pure ripe fruit of candied raspberry, orange zest, and fresh herbs. This is a lovely, well-balanced wine to drink over the coming 8-10 years.																"
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Wilfred Wong,,,"The 2019 Domaine Della Terra de Promissio Pinot Noir shows excellent and substantial firmness on the palate. This wine offers  aromas and flavors of black fruit, dried earth, and boysenberries. Try it with grilled bone-in pork chops."
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,Robert Parker's Wine Advocate,,,"The 2019 Pinot Noir Terra de Promissio has bright scents of raspberries and red cherries with loads of floral nuance and accents of citrus peel. The medium-bodied palate is intensely flavored and seamlessly structured, and it finishes on an uplifted, floral note. It's a very pretty, more delicate style this vintage. 200 cases were made."
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",93,James Suckling,,,"Ripe strawberry, rose petal and pine on the nose. Full-bodied with well-integrated tannins. Bright red berries and mint on the palate. Freshness from the pleasant minerality. Melted chocolate and toasted herbs at the soft finish. Drink now."
2019,"""Terra de Promissio Vineyard"" SC Pinot Noir",91,Wine Spectator,,,"Richly spiced, with a juicy density to the dried cherry, currant and berry flavors that are backed by firm acidity. The luscious finish has sandalwood accents. Drink now through 2025. 150 cases made.  –KM"
2019,"""Soberanes Vineyard"" SLH Pinot Noir",93,James Suckling,,,"Plummy aromas with notes of vanilla, tobacco and rosemary as well. Full-bodied with well-integrated tannins. Bright and fresh at first, but turns more savory, with chocolate and bark notes coming out more and more. Drink now.																"
2019,"""Soberanes Vineyard"" SLH Pinot Noir",93,Connoisseur's Guide to CA Wine,,,"Here is a fairly full-sized Pinot Noir that features strongly stated, decidedly ripe, black cherry fruit with a full complement of crème-brûlée-like oak in tow, and, though its impossible-to-miss richness may not come with quite the same sense of polish shown in its siblings from the North Coast, it is so deep and well-filled that its slight lack of finesse is hardly a sin. It is a fleshy, slightly more muscular take on its variety that is not at all out of keeping with its origin, but it exhibits fine balance nonetheless with a well-measured underpinning of tannin that will see it through to a slightly more rounded maturity some five or six years down the line.																"
2019,"""Soberanes Vineyard"" SLH Pinot Noir",92,Wine Enthusiast,,,
2019,"""Soberanes Vineyard"" SLH Pinot Noir",91,Wilfred Wong,,,
2019,"""Soberanes Vineyard"" SLH Pinot Noir",90,Robert Parker's Wine Advocate,,,
2019,"""4 Amours"" Special Blend SC Pinot Noir",96,Connoisseur's Guide to CA Wine,,,"The star of an absolutely stunning line-up of lovely Pinots from Domaine Della, this small-lot bottling from four specially chosen barrels is a study in sophistication that is as polished as it is deep in beautifully stated fruit. Both solid and slightly supple and a wine that, albeit amazingly expressive now, is constructed to age famously for a decade or more, it is a tour de force offering of dazzling depth, great reserve and uncommon grace. It is a Pinot that belongs on the shopping lists of fastidious, hard-to-satisfy collectors of the very best California offerings, whatever search that its finding might require."
2019,"""4 Amours"" Special Blend SC Pinot Noir",95,Wine Enthusiast,,,"This special bottling is grippy, complex and intense, exhibiting tense acidity that helps to tame the wild raspberry and cassis flavors. The tannins are seamless yet firm, as well as sizable, while the oak brings accents of baking spice, cola and dried herb. - Virginie Boone"
2019,"""4 Amours"" Special Blend SC Pinot Noir",94,Jeb Dunnuck,,,"The 2019 Pinot Noir Sonoma Coast 4 Amours has a more rounded appeal on the nose, with soft violets, cedar, and candied strawberry. The palate is true to form, with sweet black raspberry fruit and purple flowers. Drink it over the next 3-6 years, but this is ready to go now."
2019,"""4 Amours"" Special Blend SC Pinot Noir",93.5,Robert Parker's Wine Advocate,,,"The 2019 Pinot Noir Sonoma Coast 4 Amours has a more rounded appeal on the nose, with soft violets, cedar, and candied strawberry. The palate is true to form, with sweet black raspberry fruit and purple flowers. Drink it over the next 3-6 years, but this is ready to go now."
2019,"""4 Amours"" Special Blend SC Pinot Noir",93,Wilfred Wong,,,"The 2019 Domaine Della 4 Amours Pinot Noirs deftly combines power and finesse. This wine excels with aromas and flavors of black fruit, licorice, and oak. Serve it with a grilled Porterhouse steak and minced shallots.				"
2019,"""4 Amours"" Special Blend SC Pinot Noir",93,James Suckling,,,
2018,Sonoma Coast Chardonnay,94.5,Jeb Dunnuck,,,"The 2018 Chardonnay Sonoma Coast spent 15 months in 30% new French oak. It's pure class, offering bright citrus and pineapple fruit as well as lots of white flowers, salty minerality, and just a touch of background oak. With racy acidity, beautiful purity and richness, and a big finish, this pure, balanced, awesome Sonoma Coast Chardonnay is going to keep for 10-15 years."
2018,Sonoma Coast Chardonnay,93,Wine Enthusiast,,,"Quenching in crisp acidity while offering robustly opulent layers of pear and peach, this wine finds a happy balance through its undeniable richness, the oak well integrated and bursting in baking spice and vanilla bean. — Virginie Boone"
2018,Sonoma Coast Chardonnay,92,The New Wine Review,,,
2018,Sonoma Coast Chardonnay,92,Wine & Spirits,,,
2018,Sonoma Coast Chardonnay,92,James Suckling,,,
2018,Sonoma Coast Chardonnay,91,Wilfred Wong,,,
2018,Sonoma Coast Chardonnay,91,Robert Parker's Wine Advocate,,,
2018,Sonoma Coast Chardonnay,89,Wine Spectator,,,
2018,Russian River Valley Pinot Noir,94,Jeb Dunnuck,,,"Readers looking for a textbook Russian River Pinot should check out the 2018 Pinot Noir Russian River Valley. Offering up a medium ruby hue as well as lots of spiced red fruits, cola, leafy herbs, and flowery incense, it's medium to full-bodied and has a wonderful sense of balance and purity, ripe tannins, and a great finish. It's a big wine (over 15% alcohol), yet it still comes across as light and graceful.																"
2018,Russian River Valley Pinot Noir,94,The New Wine Review,,,
2018,Russian River Valley Pinot Noir,93,Wine Enthusiast,,,"Earthy rhubarb, black tea and cola combine effortlessly with a dense richness of wild strawberry in this full-bodied, well-structured and memorable wine. Bright acidity keeps it fresh and crisp in the glass as a long finish of additional baking spice lingers. — Virginie Boone																"
2018,Russian River Valley Pinot Noir,92,James Suckling,,,
2018,Russian River Valley Pinot Noir,91,Wine Spectator,,,
2018,Russian River Valley Pinot Noir,91,Robert Parker's Wine Advocate,,,
2018,Russian River Valley Pinot Noir,90,Wilfred Wong,,,
2018,Russian River Valley Pinot Noir,90,Wine & Spirits,,,
2018,Russian River Valley Pinot Noir,89,Burghound,,,
2018,Sonoma Coast Pinot Noir,94,The New Wine Review,,,
2018,Sonoma Coast Pinot Noir,93,Wine Enthusiast,Virginie Boone,,"Crisp red fruit, citrus and blueberry brighten a core of biting acidity in this coastal appellation wine, impressive in texture and length. Coated in cinnamon, nutmeg and black tea, it offers the best of the variety's fruit and savory components. - Virginie Boone"
2018,Sonoma Coast Pinot Noir,92,Robert Parker's Wine Advocate,,,
2018,Sonoma Coast Pinot Noir,92,Jeb Dunnuck,,,"More framboise, spring flowers, candied violets, and strawberry notes emerge from the 2018 Pinot Noir Sonoma Coast. It's medium to full-bodied, has a pretty, vibrant, edgy texture, good length, and is a richer, concentrated Sonoma Coast effort to enjoy over the coming 5-6 years."
2018,Sonoma Coast Pinot Noir,91,Wilfred Wong,,,
2018,Sonoma Coast Pinot Noir,91,James Suckling,,,
2018,Sonoma Coast Pinot Noir,90,Wine & Spirits,,,
2018,Sonoma Coast Pinot Noir,90,Burghound,,,
2018,Sonoma Coast Pinot Noir,89,Wine Spectator,,,
2018,Santa Lucia Highlands Pinot Noir,96,The New Wine Review,,,
2018,Santa Lucia Highlands Pinot Noir,93,Wine Enthusiast,,,"Subtly elegant violet, lavender and rose petal aromas meet with a black-raspberry sorbet and hint of wood on the nose of this appellation blend. The floral tones of the palate surround dark-berry, earthy mushroom and wild mint flavors atop a taut texture that holds through the finish. — Matt Kettmann	"
2018,Santa Lucia Highlands Pinot Noir,93,Jeb Dunnuck,,,"Located south of Monterey, the Santa Lucia Highlands is a great AVA that produces an amazing amount of outstanding Chardonnay, Pinot Noir, and Syrahs. Starting with the appellation 2018 Pinot Noir Santa Lucia Highlands, it comes all from the Soberanes Vineyard (in the relative center/southern end of the appellation) and spent 15 months in 47% new French oak. This beautiful, elegant, complex wine displays the fruit-loaded style of the appellation yet stays balanced, nicely textured, and even elegant. Black cherries, black raspberries, leafy herbs, a touch of flowers, and some earthy/forest floor notes all emerge from the glass, and it hits the palate with a soft, supple texture, again, terrific balance, and a great finish. It's slightly less expensive than the single vineyard, but I think it’s just as good."
2018,Santa Lucia Highlands Pinot Noir,93,James Suckling,,,"Gentle aromas of blueberry, cranberry, lemon zest, violets, crushed gravel and chalk. It’s medium-to full-bodied with sleek, tight tannins and bright acidity. Focused and precise. Drink or hold."
2018,Santa Lucia Highlands Pinot Noir,91,Wine Spectator,,,
2018,Santa Lucia Highlands Pinot Noir,90,Wilfred Wong,,,
2018,Santa Lucia Highlands Pinot Noir,89,Burghound,,,
